265.297580,54.524670,260.130183,19.807677
265.401120,55.318828,259.411979,19.383328
265.506320,56.092424,258.712640,18.971373
265.602838,56.887202,258.003119,18.539199
265.694715,57.613911,257.354700,18.145156
265.785453,58.348229,256.702861,17.744427
265.876502,59.073379,256.060465,17.348530
265.959360,59.781802,255.438341,16.956641
266.037456,60.461269,254.844272,16.578860
266.119044,61.145374,254.246216,16.199547
266.197523,61.806979,253.669711,15.831554
266.273373,62.448100,253.112670,15.474026
266.336859,63.053680,252.592653,15.130035
266.403082,63.652977,252.077298,14.791256
266.472526,64.250929,251.562306,14.454913
266.536277,64.810626,251.082069,14.138668
266.602981,65.399326,250.578243,13.805222
266.662360,65.989587,250.078727,13.465093
266.726746,66.515170,249.627852,13.169781
266.771390,67.045450,249.186205,12.857180
266.838048,67.655264,248.669989,12.507861
