height,D_DT_geo
95849.40,53650.54
94408.92,52842.28
92986.08,52222.31
91490.11,54935.97
90056.73,52665.74
88626.89,52562.79
87194.74,52675.73
85731.89,53833.82
84300.60,52700.16
82830.16,54170.83
81359.05,54225.00
79866.66,55039.48
78477.46,51261.50
77034.40,53276.88
75695.65,49451.87
