height,D_DT_geo
95285.98,51504.89
93926.89,50807.85
92582.39,50288.84
91166.56,52984.95
89807.83,50875.34
88450.37,50854.16
87088.62,51042.06
85695.51,52245.75
84330.33,51225.53
82925.61,52737.74
81518.00,52874.62
80087.76,53755.13
78754.33,50143.70
77367.08,52195.45
76078.15,48521.49
